"Короткое название";"Артикул";"Цена_Розничная"
"PEDIGREE влажный корм для собак Телятина и Печень (желе) 100 г";"620071";"22"
"PRO PLAN сухой корм для пожилых собак Sensitive Skin Adult 7+ с лососем 14 кг";"620072";"5436"
"PRO PLAN сухой корм для щенков Medium Puppy Sensitive Skin 3 кг";"620073";"1561"
"PRO PLAN сухой корм для собак Duo Delice Adult с говядиной и рисом 10 кг";"620074";"4486"
"PRO PLAN сухой корм для собак Duo Delice Adult с говядиной и рисом 2,5 кг";"620075";"1399"
"PRO PLAN сухой корм для собак Duo Delice Small Adult с курицей и рисом 2,5 кг";"620076";"1431"
"PRO PLAN сухой корм для собак Duo Delice Small Adult с курицей и рисом 700 г";"620077";"486"
"PRO PLAN сухой корм для собак Medium Adult 3 кг";"620078";"1392"
"PRO PLAN сухой корм для стерилизованных собак All Size Adult Sterilised 3 кг";"620079";"1549"
"PRO PLAN сухой корм Large Athletic Puppy для щенков крупных пород 12 кг";"620080";"4999"
"PRO PLAN сухой корм Medium Adult Sensitive Skin для собак средних пород 3 кг";"620081";"1549"
"PRO PLAN сухой корм Medium Adult Sensitive Skin для собак средних пород 7 кг";"620082";"2986"
"PRO PLAN сухой корм Medium Puppy Sensitive Digestion для собак средних пород 3 кг";"620083";"1561"
"PRO PLAN сухой корм Small & Mini Adult для собак мелких и миниатюрных пород 7 кг";"620084";"3148"
"PRO PLAN сухой корм Small & Mini Adult для собак мелких и миниатюрных пород 700 г";"620085";"460"
"PRO PLAN сухой корм Small & Mini Adult Sensitive Digestion для собак мелких пород 7 кг";"620086";"3148"
"PRO PLAN сухой корм Small & Mini Adult Sensitive Skin для собак мелких пород 3 кг";"620087";"1561"
"PRO PLAN сухой корм Small & Mini Adult Sensitive Skin для собак мелких пород 7 кг";"620088";"3148"
"PRO PLAN сухой корм Small & Mini Adult Sensitive Skin для собак мелких пород 700 г";"620089";"460"
"PRO PLAN сухой корм Small & Mini Puppy для щенков мелких пород 3 кг";"620090";"1561"
"PRO PLAN сухой корм Small & Mini Puppy для щенков мелких пород 700 г";"620091";"460"
"PRO PLAN VET DIETS сухой корм для собак Gastro Intestinal 1,5 кг";"620092";"1336"
"PRO PLAN VET DIETS сухой корм для собак Gastro Intestinal 5 кг";"620093";"3872"
"PRO PLAN VET DIETS влажный корм для собак Gastro Intestinal 400 г";"620094";"278"
"PRO PLAN VET DIETS влажный корм для собак Kidney Function 400 г";"620095";"266"
"ROYAL CANIN сухая смесь Puppy Pro Tech для новорожденных щенков 1200 г";"620096";"4955"
"ROYAL CANIN сухой корм Beagle Adult для собак породы Бигль старше 12 месяцев 3 кг";"620097";"1815"
"ROYAL CANIN сухой корм Boxer Adult для собак породы Боксер 12 кг";"620098";"5746"
"ROYAL CANIN сухой корм Bulldog Adult для взрослых собак породы Английский бульдог от 12 месяцев и старше 12 кг";"620099";"5746"
"ROYAL CANIN сухой корм Bulldog Adult для взрослых собак породы Английский бульдог от 12 месяцев и старше 3 кг";"620100";"1815"
"ROYAL CANIN сухой корм Club Pro Adult CC для собак с умеренной активностью 20 кг";"620101";"254"
"ROYAL CANIN сухой корм Club Pro Energy HE для собак с активным образом жизни 20 кг";"620102";"106"
"ROYAL CANIN сухой корм Cocker Adult для собак породы Кокер-спаниель 3 кг";"620103";"1829"
"ROYAL CANIN сухой корм Dachshund для собак породы Такса старше 10 месяцев 1,5 кг";"620104";"1070"
"ROYAL CANIN сухой корм Dachshund для собак породы Такса старше 10 месяцев 7,5 кг";"620105";"3828"
"ROYAL CANIN сухой корм Dachshund Junior для щенков породы Такса до 10 месяцев 1,5 кг";"620106";"430"
"ROYAL CANIN сухой корм Digestive Care Medium для собак средних размеров с расстройствами пищеварительной системы 15 кг";"620107";"7304"
"ROYAL CANIN сухой корм Digestive Care Medium для собак средних размеров с расстройствами пищеварительной системы 3 кг";"620108";"1709"
"ROYAL CANIN сухой корм Digestive Care Mini для собак мелких размеров с расстройствами пищеварительной системы 2 кг";"620109";"76"
"ROYAL CANIN сухой корм Digestive Care Mini для собак мелких размеров с расстройствами пищеварительной системы 4 кг";"620110";"104"
"ROYAL CANIN сухой корм Digestive Care Mini для собак мелких размеров с расстройствами пищеварния 0,8 кг";"620111";"492"
"ROYAL CANIN сухой корм для пожилых собак X-Small Adult 500 г";"620112";"329"
"ROYAL CANIN сухой корм для щенков Mini Puppy 4 кг";"620113";"2352"
"ROYAL CANIN сухой корм для щенков породы Чихуахуа до 8 месяцев 0,5 кг";"620114";"430"
"ROYAL CANIN сухой корм для щенков породы Чихуахуа до 8 месяцев 1,5 кг";"620115";"1399"
"ROYAL CANIN сухой корм для щенков X-Small Puppy 3 кг";"620116";"491"
"ROYAL CANIN сухой корм для собак Maxi Adult для взрослых собак крупных пород: 26-44 кг, 15 мес.- 5 лет 3 кг";"620117";"1494"
"ROYAL CANIN сухой корм для собак Mini Puppy для щенков малых пород: 2-10 мес 800 гр";"620118";"535"
"ROYAL CANIN сухой корм для собак породы Чихуахуа старше 8 месяцев 0,5 кг";"620119";"405"
"ROYAL CANIN сухой корм для собак породы Чихуахуа старше 8 месяцев 1,5 кг";"620120";"106"
"ROYAL CANIN сухой корм для собак породы Чихуахуа старше 8 месяцев 3 кг";"620121";"235"
"ROYAL CANIN сухой корм для собак Ши-Тцу 1,5 кг";"620122";"1070"
"ROYAL CANIN сухой корм для собак X-Small Adult 1,5 кг";"620123";"104"
"ROYAL CANIN сухой корм для собак X-Small Adult 3 кг";"620124";"1599"
"ROYAL CANIN сухой корм для собак X-Small Adult 500 г";"620125";"291"
"ROYAL CANIN сухой корм для стерилизованных собак X-Small Junior 500 г";"620126";"374"
"ROYAL CANIN сухой корм French Bulldog Adult для взрослых собак породы Французский бульдог старше 12 месяцев 3 кг";"620127";"1815"
"ROYAL CANIN сухой корм French Bulldog Adult для взрослых собак породы Французский бульдог старше 12 месяцев 9 кг";"620128";"4954"
"ROYAL CANIN сухой корм German Shepherd Adult для собак породы Немецкая овчарка 12 кг";"620129";"190"
"ROYAL CANIN сухой корм German Shepherd Adult для собак породы Немецкая овчарка 3 кг";"620130";"106"
"ROYAL CANIN сухой корм German Shepherd Junior для щенков породы Немецкая овчарка до 15 месяцев 12 кг";"620131";"6172"
"ROYAL CANIN сухой корм German Shepherd Junior для щенков породы Немецкая овчарка до 15 месяцев 3 кг";"620132";"1906"
"ROYAL CANIN сухой корм Giant Adult для собак очень крупных размеров 15 кг";"620133";"5360"
"ROYAL CANIN сухой корм Giant Adult для собак очень крупных размеров 4 кг";"620134";"1660"
"ROYAL CANIN сухой корм Giant Junior для щенков крупных пород в возрасте с 8 до 24 месяцев 15 кг";"620135";"1832"
"ROYAL CANIN сухой корм Giant Junior для щенков очень крупных пород в возрасте с 8 до 24 месяцев 3,5 кг";"620136";"1709"
"ROYAL CANIN сухой корм Giant Puppy для щенков крупных пород в возрасте от 2 до 8 месяцев 15 кг";"620137";"741"
"ROYAL CANIN сухой корм Giant Puppy для щенков очень крупных пород 3,5 кг";"620138";"1709"
"ROYAL CANIN сухой корм Golden Retriеver Adult для собак породы Золотистый ретривер 12 кг";"620139";"5746"
"ROYAL CANIN сухой корм HT 42d Small Dog для собак мелких пород в период течки и беременности 8 кг";"620140";"2918"
"ROYAL CANIN сухой корм Labrador Retriever Adult для собак породы Лабрадор 12 кг";"620141";"106"
"ROYAL CANIN сухой корм Labrador Retriever Adult для собак породы Лабрадор 3 кг";"620142";"1668"
"ROYAL CANIN сухой корм Labrador Retriever Junior для щенков Лабрадора 12 кг";"620143";"6172"
"ROYAL CANIN сухой корм Labrador Retriever Junior для щенков Лабрадора 3 кг + контейнер";"620144";"1906"
"ROYAL CANIN сухой корм Labrador Retriever Junior для щенков Лабрадора 3 кг";"620145";"1906"
"ROYAL CANIN сухой корм Light Weight Care Mini для собак мелких размеров, профилактика избыточного веса 0,8 кг";"620146";"544"
"ROYAL CANIN сухой корм Light Weight Care Mini для собак мелких размеров, профилактика избыточного веса 4 кг";"620147";"2452"
"ROYAL CANIN сухой корм Maxi Adult 5+ для собак крупных пород старше 5 лет 15 кг";"620148";"104"
"ROYAL CANIN сухой корм Maxi Adult 5+ для собак крупных пород старше 5 лет 4 кг";"620149";"665"
"ROYAL CANIN сухой корм Maxi Adult для собак крупных пород собак старше 15 месяцев 15 кг";"620150";"106"
"ROYAL CANIN сухой корм Maxi Ageing 8+ для пожилых собак крупных пород старше 8 лет 15 кг";"620151";"6235"
"ROYAL CANIN сухой корм Maxi Ageing 8+ для пожилых собак крупных пород старше 8 лет 3 кг";"620152";"1495"
"ROYAL CANIN сухой корм Maxi Dermacomfort для собак крупных пород с повышенной чувствительностью кожи 14 кг";"620153";"6990"
"ROYAL CANIN сухой корм Maxi Dermacomfort для собак крупных пород с повышенной чувствительностью кожи 3 кг";"620154";"1678"
"ROYAL CANIN сухой корм Maxi Digestive Care для собак крупных пород c чувствительной пищеварительной системой от 15 месяцев 15 кг";"620155";"7155"
"ROYAL CANIN сухой корм Maxi Digestive Care для собак крупных пород c чувствительной пищеварительной системой от 15 месяцев  3 кг";"620156";"1685"
"ROYAL CANIN сухой корм Maxi Joint Care для собак крупных пород с повышенной чувствительностью суставов 12 кг";"620157";"5915"
"ROYAL CANIN сухой корм Maxi Joint Care для собак крупных пород с повышенной чувствительностью суставов 3 кг";"620158";"1678"
"ROYAL CANIN сухой корм Maxi Joint Care для собак крупных пород старше 15 месяцев с повышенной чувствительностью суставов 12 кг";"620159";"5915"
"ROYAL CANIN сухой корм Maxi Puppy  для щенков крупных пород в возрасте от 2 до 15 месяцев 15 кг";"620160";"6892"
"ROYAL CANIN сухой корм Maxi Puppy  для щенков крупных пород в возрасте от 2 до 15 месяцев 3+1 кг";"620161";"1636"
"ROYAL CANIN сухой корм Medium Adult 7+ для пожилых собак старше 7 лет 15 кг";"620162";"6214"
"ROYAL CANIN сухой корм Medium Adult для собак средних пород 15 кг";"620163";"278"
"ROYAL CANIN сухой корм Medium Adult для взрослых собак средних пород 3 кг";"620164";"1439"
"ROYAL CANIN сухой корм Medium Ageing 10+ для пожилых собак средних пород старше 10 лет 15 кг";"620165";"6456"
"ROYAL CANIN сухой корм Medium Dermacomfort для собак средних пород с повышенной чувствительностью кожи 10 кг";"620166";"4881"
"ROYAL CANIN сухой корм Medium Dermacomfort для собак средних пород с повышенной чувствительностью кожи 3 кг";"620167";"1661"
"ROYAL CANIN сухой корм Medium Light Weight Care для собак средних размеров, профилактика избыточного веса 2 кг";"620168";"1278"
"ROYAL CANIN сухой корм Medium Light Weight Care для собак средних размеров, профилактика избыточного веса 3 кг";"620169";"1630"
"ROYAL CANIN сухой корм Medium Puppy для щенков средних пород в возрасте от 2 до 12 месяцев 15 кг";"620170";"7168"
"ROYAL CANIN сухой корм Medium Puppy для щенков средних пород в возрасте от 2 до 12 месяцев 3+1 кг";"620171";"1706"
"ROYAL CANIN сухой корм Mini Adult 8+ для собак мелких пород в возрасте от 8 до 12 лет 2 кг";"620172";"1929"
"ROYAL CANIN сухой корм Mini Adult 8+ для собак мелких пород в возрасте от 8 до 12 лет 4 кг";"620173";"106"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 2 кг";"620174";"54"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 4 кг";"620175";"2096"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 8 кг";"620176";"8004"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 800 г";"620177";"459"
"ROYAL CANIN сухой корм Mini Dermacomfort для собак мелких пород с повышенной чувствительностью кожи 2 кг";"620178";"1278"
"ROYAL CANIN сухой корм Mini Dermacomfort для собак мелких пород с повышенной чувствительностью кожи 4 кг";"620179";"2452"
"ROYAL CANIN сухой корм Mini Dermacomfort для собак мелких пород с повышенной чувствительностью кожи 800 г";"620180";"486"
"ROYAL CANIN сухой корм Mini Exigent для собак мелких пород старше 10 месяцев привередливых к питанию 2 кг";"620181";"1245"
"ROYAL CANIN сухой корм Mini Exigent для собак мелких пород старше 10 месяцев привередливых к питанию 4 кг";"620182";"106"
"ROYAL CANIN сухой корм Mini Exigent для собак мелких пород старше 10 месяцев привередливых к питанию 800 г";"620183";"530"
"ROYAL CANIN сухой корм Mini Puppy для щенков мелких пород в возрасте от 2 до 10 месяцев 2 кг";"620184";"1196"
"ROYAL CANIN сухой корм Mini Puppy для щенков мелких пород в возрасте от 2 до 10 месяцев 500+300 г";"620185";"334"
"ROYAL CANIN сухой корм Miniature Schnauzer Adult для собак породы Цвергшнауцер 3 кг";"620186";"2144"
"ROYAL CANIN сухой корм Pug Adult для собак породы Мопс старше 10 месяцев 1,5 кг";"620187";"774"
"ROYAL CANIN сухой корм Pug Adult для собак породы Мопс старше 10 месяцев 500 г";"620188";"394"
"ROYAL CANIN сухой корм Pug Adult для собак породы Мопс старше 10 месяцев 7,5 кг";"620189";"980"
"ROYAL CANIN сухой корм Pug Junior для щенков породы Мопс возрастом до 10 месяцев 1.5 кг";"620190";"1161"
"ROYAL CANIN сухой корм Rottweiler Adult для собак породы Ротвейлер 12 кг";"620191";"5365"
"ROYAL CANIN сухой корм Show Beauty Performance Small Dog для собак мелких пород для поддержания красоты и здоровья шерсти 8 кг";"620192";"3175"
"ROYAL CANIN сухой корм Sporting Life Endurance 4800 для собак всех пород с высокой физической активностью 15 кг";"620193";"6070"
"ROYAL CANIN сухой корм Starter Giant для беременных собак и щенков очень больших пород 15 кг";"620194";"6142"
"ROYAL CANIN сухой корм Starter Giant для беременных собак и щенков очень больших пород 4 кг";"620195";"1871"
"ROYAL CANIN сухой корм Starter Maxi для беременных собак и щенков крупных пород 15 кг";"620196";"218"
"ROYAL CANIN сухой корм Starter Maxi для беременных собак и щенков крупных пород 4 кг";"620197";"202"
"ROYAL CANIN сухой корм Starter Medium для беременных собак и щенков средних пород 12 кг";"620198";"5801"
"ROYAL CANIN сухой корм Starter Medium для беременных собак и щенков средних пород 4 кг";"620199";"2212"
"ROYAL CANIN сухой корм Starter Mini для беременных собак и щенков мелких пород 1 кг";"620200";"648"
"ROYAL CANIN сухой корм Starter Mini для беременных собак и щенков мелких пород 3 кг";"620201";"1749"
"ROYAL CANIN сухой корм Starter Mini для беременных собак и щенков мелких пород 8,5 кг";"620202";"105"
"ROYAL CANIN сухой корм X-Small Puppy для щенков миниатюрных пород 1,5 кг";"620203";"990"
"ROYAL CANIN сухой корм X-Small Puppy для щенков миниатюрных пород 500 г";"620204";"364"
"ROYAL CANIN сухой корм Yorkshire Junior для щенков йоркширского терьера 1,5 кг + контейнер";"620205";"1422"
"ROYAL CANIN сухой корм Yorkshire Junior для щенков йоркширского терьера возрастом до 10 месяцев 500 г";"620206";"441"
"ROYAL CANIN сухой корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 0,5 кг";"620207";"405"
"ROYAL CANIN сухой корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 1,5 кг";"620208";"1070"
"ROYAL CANIN сухой корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 3 кг";"620209";"1872"
"ROYAL CANIN сухой корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 7,5 кг";"620210";"8894"
"ROYAL CANIN сухой корм Yorkshire Terrier Junior для собак породы йоркширский терьер 500+500 г";"620211";"441"
"ROYAL CANIN VET DIET сухой корм Anallergenic AN18 для собак с пищевой аллергией или непереносимостью с ярко выраженной гиперчувствительнстью 3 кг";"620212";"3025"
"ROYAL CANIN VET DIET сухой корм Anallergenic AN18 для собак с пищевой аллергией или непереносимостью с ярко выраженной гиперчувствительнстью 8 кг";"620213";"7105"
"ROYAL CANIN VET DIET сухой корм Diabetic DS 37 для собак страдающих сахарным диабетом 12 кг";"620214";"8566"
"ROYAL CANIN VET DIET сухой корм Diabetic DS 37 для собак страдающих сахарным диабетом 1,5 кг";"620215";"1422"
"ROYAL CANIN VET DIET сухой корм Fibre Response FR23 для собак с расстройством пищеварительной системы 2 кг";"620216";"1832"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal GI25 для собак с нарушением пищеварения 14 кг";"620217";"62"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal GI25 для собак с нарушением пищеварения 2 кг";"620218";"1806"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal Junior GIJ29 для щенков до 1 года c нарушениями пищеварения 10 кг";"620219";"8004"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal Junior GIJ29 для щенков до 1 года при нарушениях пищеварения 1 кг";"620220";"998"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal Junior GIJ29 для щенков до 1 года при нарушениях пищеварения 2,5 кг";"620221";"2438"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal Low Fat LF22 диета с ограниченным содержанием жиров для собак с нарушением пищеварения 12 кг";"620222";"175"
"ROYAL CANIN VET DIET сухой корм Gastro Intestinal Low Fat LF22 диета с ограниченным содержанием жиров для собак с нарушением пищеварения 1,5 кг";"620223";"1450"
"ROYAL CANIN VET DIET сухой корм Hepatic HF16 для собак при заболеваниях печени 1,5 кг";"620224";"1476"
"ROYAL CANIN VET DIET сухой корм Hepatic HF16 для собак при заболеваниях печени 6 кг";"620225";"79"
"ROYAL CANIN VET DIET сухой корм Hepatic HF16 для собак с заболеваниями печени 12 кг";"620226";"8894"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic DR21 для собак средних пород при пищевой аллергии или непереносимости 14 кг";"620227";"104"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic DR21 для собак средних пород при пищевой аллергии или непереносимости 2 кг";"620228";"1460"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic DR21 для собак средних пород при пищевой аллергии или непереносимости 7 кг";"620229";"22"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic HME 23 Moderate Calorie для собак с пищевой аллергией или непереносимостью 1,5 кг";"620230";"1506"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic HSD 24 для собак мелких пород при пищевой аллергии или непереносимости 1 кг";"620231";"105"
"ROYAL CANIN VET DIET сухой корм Hypoallergenic HSD 24 для собак мелких пород при пищевой аллергии или непереносимости 3,5 кг";"620232";"3319"
"ROYAL CANIN VET DIET сухой корм Mini Sterilised Adult для стерилизованных собак мелких пород старше 10 месяцев 2 кг";"620233";"1278"
"ROYAL CANIN VET DIET сухой корм Mini Sterilised Adult для стерилизованных собак мелких пород старше 10 месяцев 4 кг";"620234";"2236"
"ROYAL CANIN VET DIET сухой корм Mobility МС25 С2Р+ для собак с заболеваниями опорно-двигательного аппарата 14 кг";"620235";"5976"
"ROYAL CANIN VET DIET сухой корм Mobility МС25 С2Р+ для собак с заболеваниями опорно-двигательного аппарата 2 кг";"620236";"1864"
"ROYAL CANIN VET DIET сухой корм Mobility МС25 С2Р+ для собак с заболеваниями опорно-двигательного аппарата 7 кг";"620237";"5831"
"ROYAL CANIN VET DIET сухой корм Neutered Adult Medium Dog для стерилизованных или кастрированных собак средних пород 10 кг";"620238";"5186"
"ROYAL CANIN VET DIET сухой корм Neutered Adult Medium Dog для стерилизованных или кастрированных собак средних пород 3,5 кг";"620239";"1915"
"ROYAL CANIN VET DIET сухой корм Neutered Adult Small Dog для кастрированных собак мелких пород 3,5 кг";"620240";"116"
"ROYAL CANIN VET DIET сухой корм Neutered Adult Small Dog для стерилизованных и кастрированных собак мелких пород 800 г";"620241";"531"
"ROYAL CANIN VET DIET сухой корм Renal RF14 для взрослых собак с хронической почечной недостаточностью 14 кг";"620242";"10021"
"ROYAL CANIN VET DIET сухой корм Renal RF14 для взрослых собак с хронической почечной недостаточностью 2 кг";"620243";"1314"
"ROYAL CANIN VET DIET сухой корм Satiety Small Dog SSD30 для взрослых собак весом менее 10 кг контроль избыточного веса 1,5 кг";"620244";"1436"
"ROYAL CANIN VET DIET сухой корм Satiety Weight Management SAT30 для собак диетический 1,5 кг";"620245";"1348"
"ROYAL CANIN VET DIET сухой корм Sensitivity Control SC 21 для собак всех пород с пищевой аллергией или непереносимостью 1,5 кг";"620246";"1478"
"ROYAL CANIN VET DIET сухой корм Sensitivity Control SC21 canine для собак с пищевой аллергией 1,5 кг";"620247";"394"
"ROYAL CANIN VET DIET сухой корм Sensitivity Control SC21 canine для собак с пищевой аллергией 7 кг";"620248";"5976"
"ROYAL CANIN VET DIET сухой корм Skin Care SK 23 для собак с дерматозом 2 кг";"620249";"2075"
"ROYAL CANIN VET DIET сухой корм Skin Care SK23 для собак при атопии и дермотозах 12 кг";"620250";"9265"
"ROYAL CANIN VET DIET сухой корм S/O Urinary Small Dog USD 20 для собак мелких пород при заболеваниях мочевыделительной системы 4 кг";"620251";"3351"
"ROYAL CANIN VET DIET сухой корм Urinary S/O для собак мелких пород при лечении и профилактике мочекаменной болезни 1,5 кг";"620252";"1232"
"ROYAL CANIN VET DIET сухой корм Urinary S/O LP18 для собак при лечении и профилактике мочекаменной болезни 14 кг";"620253";"86"
"ROYAL CANIN VET DIET сухой корм Urinary S/O LP18 для собак при лечении и профилактике мочекаменной болезни 2 кг";"620254";"1685"
"ROYAL CANIN VET DIET влажный консервированный корм Mobility МС25 С2Р+ для собак с заболеваниями опорно-двигательного аппарата 400 г";"620255";"278"
"ROYAL CANIN VET DIET влажный корм Early Cardiac EС26 для собак страдающих сердечной недостаточностью 410 г";"620256";"278"
"ROYAL CANIN VET DIET влажный корм Gastro Intestinal для собак с нарушением пищеварения 200 г";"620257";"159"
"ROYAL CANIN VET DIET влажный корм Gastro Intestinal для собак с нарушением пищеварения 400 г";"620258";"278"
"ROYAL CANIN VET DIET влажный корм Gastro Intestinal Low Fat диета с ограниченным содержанием жиров для собак с нарушением пищеварения 200 г";"620259";"159"
"ROYAL CANIN VET DIET влажный корм Gastro Intestinal Low Fat диета с ограниченным содержанием жиров для собак с нарушением пищеварения 410 г";"620260";"278"
"ROYAL CANIN VET DIET влажный корм Hepatic HF16 для собак при заболеваниях печени 200 г";"620261";"159"
"ROYAL CANIN VET DIET влажный корм Hypoallergenic для собак при пищевой аллергии или непереносимости 200 г";"620262";"159"
"ROYAL CANIN VET DIET влажный корм Hypoallergenic для собак при пищевой аллергии или непереносимости 400 г";"620263";"278"
"ROYAL CANIN VET DIET влажный корм Recovery Canine Feline для кошек и собак в период восстановления после болезни 195 г";"620264";"146"
"ROYAL CANIN VET DIET влажный корм Renal (банка) для собак с хронической почечной недостаточностью 410 г";"620265";"278"
"ROYAL CANIN VET DIET влажный корм Renal (банка) для взрослых собак с хронической почечной недостаточностью 200 г";"620266";"159"
"ROYAL CANIN VET DIET влажный корм Satiety Weight Management для собак контроль избыточного веса 195 г";"620267";"159"
"ROYAL CANIN VET DIET влажный корм Satiety Weight Management для собак контроль избыточного веса 410 г";"620268";"278"
"ROYAL CANIN VET DIET влажный корм Sensitivity Control для собак с пищевой аллергией 420 г";"620269";"278"
"ROYAL CANIN VET DIET влажный корм Urinary S/O (банка) для собак с целью профилактики мочекаменной болезни 420 г";"620270";"278"
"ROYAL CANIN VET DIETS сухой корм Sensitivity Control SC 21 для собак при пищевой аллергии 14 кг";"620271";"10400"
"ROYAL CANIN влажный корм Adult Beauty для собак здоровье шерсти и кожи 195 г";"620272";"109"
"ROYAL CANIN влажный корм Adult Light для собак малых пород 195 г";"620273";"109"
"ROYAL CANIN влажный корм Dachshund для собак породы Такса старше 10 месяцев 85 г";"620274";"76"
"ROYAL CANIN влажный корм для собак породы Чихуахуа (паштет) 5+1 x 85 г";"620275";"381"
"ROYAL CANIN влажный корм для собак породы Чихуахуа старше 8 месяцев 85 г";"620276";"76"
"ROYAL CANIN влажный корм Junior для щенков мелких пород до 10 месяцев 195 г";"620277";"109"
"ROYAL CANIN влажный корм Mature 8+ для взрослых собак мелких пород старше 8 лет 195 г";"620278";"109"
"ROYAL CANIN влажный корм Starter Mousse для беременных собак и щенков до 2 месяцев 195 г";"620279";"109"
"ROYAL CANIN влажный корм Urban Life Junior для щенков живущих в городских условиях 150 г";"620280";"91"
"ROYAL CANIN влажный корм Urban Life Junior для щенков живущих в городских условиях 3+1 x 150 г";"620281";"274"
"ROYAL CANIN влажный корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 5+1 x 85 г";"620282";"381"
"ROYAL CANIN влажный корм Yorkshire Terrier Adult для собак породы Йоркширский терьер 85 г";"620283";"76"
"ROYAL CANIN заменитель молока Babydog Milk для щенков с рождения 2 кг";"620284";"4531"
"ROYAL CANIN заменитель молока Babydog Milk для щенков с рождения 400 г";"620285";"1399"
"CESAR влажный корм для собак Бефстроганов из говядины с сыром и укропом 100 г";"620286";"75"
"CESAR влажный корм для собак Фрикасе из ягненка с овощами и розмарином 100 г";"620287";"75"
"CESAR влажный корм для собак из говядины с овощами 100 г";"620288";"28"
"CESAR влажный корм для собак с ягненком и овощами 100 г";"620289";"28"
"CESAR влажный корм для собак из курицы с овощами 100 г";"620290";"28"
"CESAR влажный корм для собак из говядины и кролика со шпинатом 100 г";"620291";"28"
"CESAR влажный корм для собак с ягненком в сырном соусе 100 г";"620292";"28"
"CESAR влажный корм для собак из говядины в сливочном соусе 100 г";"620293";"28"
"CHAPPI влажный корм для собак с курицей 100 г";"620294";"18"
"CHAPPI влажный корм для собак с говядиной 100 г";"620295";"18"
"CHAPPI влажный корм для собак мясное изобилие 100 г";"620296";"18"
"PEDIGREE влажный корм для собак с говядиной 100 г";"620297";"22"
"PEDIGREE влажный корм для собак с курицей 100 г";"620298";"22"
"PEDIGREE влажный корм для собак с говядиной и ягненком 100 г";"620299";"22"
"PEDIGREE влажный корм для собак с кроликом и индейкой 100 г";"620300";"22"
"PEDIGREE влажный корм паштет с говядиной для собак мелких пород 80 г";"620301";"24"
"PEDIGREE влажный корм паштет с курицей для собак мелких пород 80 г";"620302";"24"
"PEDIGREE влажный корм для взрослых собак миниатюрных и мелких пород с говядиной 85 г";"620303";"24"
"PEDIGREE влажный корм для взрослых собак миниатюрных и мелких пород с ягненком 85 г";"620304";"24"
"PEDIGREE влажный корм для щенков с говядиной 85 г";"620305";"22"
"PEDIGREE влажный корм для щенков с ягненком 85 г";"620306";"22"
"BRIT Premium Сухой корм для собак  Chicken Adult Large L 3кг";"620307";"809"
"CHAPPI сухой корм для собак с говядиной 15 кг";"620308";"116"
"CHAPPI сухой корм для собак мясное изобилие 15 кг";"620309";"128"
"CHAPPI сухой корм для собак с курицей 15 кг";"620310";"146"
"CHAPPI сухой корм для собак мясное изобилие 2,5 кг";"620311";"320"
"CHAPPI сухой корм для собак с говядиной 2,5 кг";"620312";"320"
"CHAPPI сухой корм для собак с говядиной 600 г";"620313";"85"
"CHAPPI сухой корм для собак мясное изобилие 600 г";"620314";"85"
"PEDIGREE сухой корм для собак миниатюрных пород с говядиной 1,2 кг";"620315";"278"
"PEDIGREE сухой корм для собак всех пород с говядиной 13 кг";"620316";"2022"
"PEDIGREE сухой корм для собак крупных пород с говядиной 13 кг";"620317";"2161"
"PEDIGREE сухой корм для собак мелких пород с говядиной 13 кг";"620318";"2161"
"PEDIGREE сухой корм для собак всех пород с курицей 2,2 кг";"620319";"400"
"PEDIGREE сухой корм для собак мелких пород с курицей 2,2 кг";"620320";"426"
"PEDIGREE сухой корм для собак всех пород с говядиной 600 г";"620321";"121"
"PEDIGREE сухой корм для собак мелких пород с говядиной 600 г";"620322";"130"
"PEDIGREE сухой корм для собак миниатюрных пород с говядиной 600 г";"620323";"150"
"PEDIGREE сухой корм для щенков всех пород с курицей 13 кг";"620324";"2225"
"PEDIGREE сухой корм для щенков крупных пород с курицей 13 кг";"620325";"2379"
"PEDIGREE сухой корм для щенков крупных пород с курицей 2,2 кг";"620326";"470"
"PEDIGREE сухой корм для щенков всех пород с курицей 2,2 кг";"620327";"440"
